,Unnamed: 0,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
9,9,"France,AFD",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
10,10,"France,AFD",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
11,11,"France,AFD",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
31,34,AITF,2012,0327-0328,0327-0328,44482-023,Transport Network Development Investment Program - Tranche 2
32,35,AITF,2013,0327-0328,0327-0328,44482-023,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary)
73,152,Australia,2011,G0272/0289,G0272,35174-082,School Sector Program
84,168,Australia,2012,G0272/0289,G0272,35174-082,School Sector Program (Supplementary)
106,192,"Australia,Australia",2012,2936-2937/G0316-0317,2936-2937,40190-023,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
107,193,"Australia,Australia",2012,2936-2937/G0316-0317,G0316-0317,40190-023,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
124,210,"Australia,Australia",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
125,211,"Australia,Australia",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
126,212,"Australia,Australia",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
173,354,Denmark,2011,G0272/0289,G0272,35174-082,School Sector Program
193,428,EC,2011,G0272/0289,G0272,35174-082,School Sector Program
257,520,Finland,2011,G0272/0289,G0272,35174-082,School Sector Program
269,588,France,2012,2862-64/0287/8270,2862-64,42169-013,Greater Dhaka Sustainable Urban Transport
293,612,"France,AFD",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
294,613,"France,AFD",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
295,614,"France,AFD",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
304,623,FTI,2011,G0272/0289,G0272,35174-082,School Sector Program
318,652,GEF,2004,4357(L),4357(L),36445-022,Capacity Building to Combat Land Degradation
321,681,GEF,2012,2862-64/0287/8270,2862-64,42169-013,Greater Dhaka Sustainable Urban Transport
328,688,GEF,2012,2957/0324-0325/8266,0324-0325,41220-013,Integrated Natural Resources and Environmental Management
382,862,IFAD,2012,2957/0324-0325/8266,0324-0325,41220-013,Integrated Natural Resources and Environmental Management
415,926,Japan,ERROR, Incorrect data type for operator or @Function, Time/Date expected,2074-2075,2074-2075
598,1619,Norway,2011,G0272/0289,G0272,35174-082,School Sector Program
643,1811,SCF-PPCR,2011,2839/G0278/8254,G0278,43309-013,Provincial Roads Improvement
692,1860,SCF-PPCR,2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
693,1861,SCF-PPCR,2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
694,1862,SCF-PPCR,2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
696,1864,SCF-PPCR,2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
697,1865,SCF-PPCR,2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
698,1866,SCF-PPCR,2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
732,1973,UFPF-UEIF,2012,2931/G0313-0314,G0313-0314,43319-022,Greater Mekong Subregion East-West Economic Corridor Towns Development
748,2074,UNICEF,2011,G0272/0289,G0272,35174-082,School Sector Program
762,2165,U.K.,2011,G0272/0289,G0272,35174-082,School Sector Program
764,2167,U.K.,2012,0305-0306/0368,0305-0306,36172-063,Strengthening Public Management Program
795,2345,World Bank,2011,G0272/0289,G0272,35174-082,School Sector Program
